Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Guinea,8336967,8445717,8577790,8772254,8961039,9140114,9330625,9547082,9779785,10021323,10270728,10527712,10788692,11055430,11333365,11625998
Guinea-Bissau,1230849,1257380,1285678,1315653,1347009,1379713,1414091,1450572,1488431,1527196,1567220,1609017,1652717,1697753,1743309,1788919
Guyana,759051,759809,760323,760562,760424,759709,758367,756521,754150,751258,747932,744230,743966,747420,751115,755031
Haiti,8360225,8511728,8661546,8812245,8961489,9111900,9266288,9420826,9575247,9730638,9842880,9954312,10108539,10261206,10412740,10563757
Heavily indebted poor countries (HIPC),475127894,488040621,502494432,517663749,532571131,547936900,563930944,579864063,596301357,613535903,630953183,648927117,667520863,686620331,706617213,727129254
High income,1102139639,1108870086,1115681856,1122515138,1129571825,1136981371,1145510251,1154791752,1164409232,1173066945,1180459116,1185474102,1192042103,1198818424,1205686277,1212444178
Honduras,6656725,6837861,7019908,7201881,7383407,7564613,7745200,7924462,8101777,8277302,8450933,8622504,8792367,8960657,9127846,9294505
"Hong Kong SAR, China",6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300
Hungary,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028
IBRD only,3980362565,4027427875,4073344085,4118689510,4164013241,4208938572,4252600296,4295135714,4338335015,4382233995,4425837971,4471134545,4519075289,4568406106,4617515110,4665080901
Iceland,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815
IDA & IBRD total,5093905754,5168706338,5243283354,5317576423,5391795246,5465994258,5539726956,5612900975,5686803916,5762172064,5838773450,5917666583,5998533722,6079930346,6161220418,6241658900
IDA blend,370910722,381142622,390704440,399995493,409622323,419337831,429250772,439576756,450269469,461410153,473204510,484919898,495868522,506443358,516900084,527175885
IDA only,742632467,760135841,779234829,798891420,818159682,837717855,857875888,878188505,898199432,918527916,939730969,961612140,983589911,1005080882,1026805224,1049402114
IDA total,1113543189,1141278463,1169939269,1198886913,1227782005,1257055686,1287126660,1317765261,1348468901,1379938069,1412935479,1446532038,1479458433,1511524240,1543705308,1576577999
India,1059633675,1078970907,1098313039,1117415123,1136264583,1154638713,1172373788,1189691809,1206734806,1223640160,1240613620,1257621191,1274487215,1291132063,1307246509,1322866505
Indonesia,214072421,217112437,220115092,223080121,225938595,228805144,231797427,234858289,237936543,240981299,244016173,247099697,250222695,253275918,256229761,259091970
Iran (Islamic Republic of),65544383,66674851,67327117,67954699,69061674,70182594,71275760,72319418,73318394,74322685,75373855,76342971,77324451,78458928,79961672,81790841
Iraq,24628858,25425663,26255343,27068823,27858948,28698684,28905607,28660887,29218381,30289040,31264875,32378061,33864447,35481800,36746488,37757813
Ireland,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957
Isle of Man,75562,76398,77183,77939,78677,79415,80228,81100,81997,82915,83828,84350,84338,84144,83896,83593
